sentiment,content
neutral,movie maybe little awesome
neutral,back wayland good home
surprise,btw still cant believe awesome newjabbakidz performance wasu masksi screamed pc
neutral,saw wolverine last night
neutral,well another family chosen child interviewed back looking another kid
neutral,made new youtube background photoshop thanks
happiness,quotwe oh yea yea yea eating tonite woo eating tonight eating tonite dietquot finding nemo
neutral,going drinking tonight drinking away blues
neutral,oh mannn im gonna tomorroww
sadness,chips sale wo
sadness,another thrown im sure one american family
happiness,woke breakfast online every morning except holidays weekends haha bath school
sadness,dont like random gloomy weather
neutral,tip today eagles specials broncos put house
sadness,bronchitis prescriptions fun miss two days row work
happiness,hey forgot ask steve take mine mate look like liam shameless
sadness,home got nice plugs chipotle
neutral,havent canceled account yet havent logged since november think maybe main rogue
neutral,hope great weekend em say hi fam
sadness,lost friends im alone sleepyi wanna go home
neutral,happened realtime feed friend feed like twitter website
sadness,minutes boarding hours home window seat
sadness,school boring
sadness,awww wonder ima get married shawna damon cute
neutral,im back twitter
neutral,go work
neutral,niceee hey never get stickersss
happiness,playing munchkin today talking cakes getting ready yard sale tomorrow looking forward
sadness,cheers
sadness,know im one harder
neutral,go two way mirrors
sadness,need get good hard workout today work feel like ive slacking good
neutral,really need study many books many updates
neutral,kno shoulda came
happiness,course really hope would real twitter page would soo cool
neutral,pilates tweet yall soon
happiness,yep itll awesome max haha
sadness,want go im tierd
surprise,ohoh missed ur tweets im gonna stay awake night see announcement damn time difference
happiness,woke hopefully going see xmen film today
anger,murphys law sorry computer cooperating lots work kids
happiness,lay pool take nap agenda day
happiness,whohoo erin got accepted ottawa u nursing school algonquin pembroke campus may get girl back
happiness,haha welcome world fail together
happiness,much news android based devices especially tmobile im giddy cant wait starts saving android tmobile
neutral,eating halls cuz sour throte
sadness,sweet englands becoming lamer lamer since guys left
happiness,belting next normal fabulous evening choice
neutral,sure
surprise,stopped followin
neutral,justwatched like straight episodes escaped id discovery channel guy imprisoned women killed cooked
happiness,lol liked log ride reference think think ride wet get
happiness,closing instead yay min till go home talk lovebug
happiness,give best
anger,whats great bout called wonderful love life god sake wateva
happiness,finish sketches und go skate yeeeehaaa got new deck
happiness,finally pic cya like hrs haha
sadness,im sorry megan im sure find something quick
surprise,well done blood workits hot
neutral,im uploading videos youtube give link get loaded variety daily life amazing fun watch
neutral,amp time bed nite
neutral,lol start group lol slut sisters
sadness,snitchsneeker photos cool dang whats comments chest hair thats creepy
sadness,kill im sick n friday night
sadness,didnt get joke
neutral,today
neutral,little get impression twittercopytopify
surprise,asked suit heading didnt think looked much like whore
neutral,loool thats way things
sadness,wish couldbut im work shes
sadness,bored kinda lonely parents went lake didnt friend bring knew bored didnt go
neutral,ha check high scores today currently slot
sadness,bed stomach ache
neutral,im going
neutral,everything okay
happiness,im gonna miss guys much thanks making years senior school amazing
happiness,absolutely quothis viewquot section site know youre busy welcome guest post
happiness,thing really demands lot time anyways gotta get breakfast watch narutos latest episode
happiness,thats amazing quote indeedbtw nice weekend
sadness,god pisses always enter comps amp never wini sore loser
neutral,make mind
anger,working fridaaaayyyyy
neutral,good idea brain cant twitter
neutral,windy
neutral,marche want rosti crepes
happiness,bag looks stylish congrats
happiness,lol hell yeah
sadness,sadness could hang feel less apathetic
neutral,much tweetie didnt jive looked tweetie cant use either iphone
neutral,theres one thing hate friends dats move skl forget yuu
sadness,way many people crying school picnic decide want go back go public im confused sad
neutral,grown
neutral,kyle make fart noises armpit
happiness,lol kalaharinet marketing quotmay youquot
sadness,yeah sorry busy last night ill try go next week
neutral,yes yes indeed nuts like though rich tut x
happiness,good morning everyone
neutral,faa thaa night movie night
happiness,sleeptake twothis better work
surprise,u two fighting
sadness,supposed cominglife got way lol give friends wild time
sadness,another long walk heat hate
happiness,mee looks amazeeeeeee
happiness,would idea haha xx
neutral,story reminds living portugal
sadness,sad dad dies hakuna matana means worries
neutral,addictive isnt biz could definately better folks slowed getting done
sadness,im sorry fail
sadness,need motivation life oh love would nice
sadness,msn nones
neutral,want katie
neutral,hermits like stay
neutral,walnut high school prom becca
neutral,awww lukes evicted quiz
anger,lol ur tweet sound like ur voice yelling lol
sadness,darn one slipped right fingers
neutral,sanath smacks jayaho
sadness,really good night missing little girl
sadness,hi got comp early last nite saw u werent feeling well hope u r better
neutral,idk could would cost soo much
sadness,whys cat pain
neutral,quotfamily bird wordquot family guy
neutral,hav pork scratching
sadness,wanna go see edinburgh wont happen though haha yir lucky funnnn xxx
happiness,galaxyand god good everyone gonetwitters gone bit quiet xxxxx
neutral,dont think ive ever tried peanut butter toast
happiness,got home today fun
sadness,recorded sent people obviously meant get didnt feel bad
sadness,got rocks found car got birdied evening
neutral,know im kidding
neutral,freezing raining
surprise,ready
neutral,nope going able finish tonight got things bed
sadness,performing lifeball vienna year unfortunately didnt get chance see
happiness,cambie slightly event leave waiting feedback though ill keep u posted
neutral,cam sesh lined tomorrow winner ill post screen shots lj friends unless convince otherwise
happiness,happy monday going tavares today hope everyone blessed day
anger,wakey wakey lemon shakeyyyy haha goin schooliooo raining ugh guess wish right nowcalifornia
neutral,days recover ligament damage give days train
sadness,think im break heart emo sounds meh
sadness,stupid tooooth hurts
neutral,thought star trek person wasnt crazy new movie
neutral,heh heh heh come thq release ah well try almost anything billed rpg
happiness,degree tear happy moment
neutral,nice info forwarded needy friend mine
neutral,heyy
sadness,angry sad happy excited hate moods change right immensely sad
happiness,mariana photography cassones may feature thanks much
surprise,haha korn funny ugh drink beers im going get fat
neutral,little weeping nervous girl put along yr old quite good dancing boy greg lovely singer came
happiness,lol point laugh
neutral,dayum dont even remember started twittering oh yea facebook integration
sadness,didnt book today well could bothered work weather good
neutral,okay dokay coming
surprise,first thing get twit
happiness,pleasure sweetie lookin forward gettin know u
surprise,happy help
happiness,happy birthday cheers pao
sadness,wanna play tonight pout pout side face
neutral,update ableton live
happiness,haha lol english work doo college
sadness,miss yoooouuuu
sadness,followers went id follow back cant anything till get interwebnet want followers im interesting
neutral,nope neither ladies today
sadness,list paid get cant go gettin hot went outside
surprise,damn thats favorite partlolok ill keep stock alot
happiness,went well andrea
sadness,even miles miles apart youre still holding heart days jonas brothers concert experience wcandice
neutral,go old house finish moving
sadness,lmao im stupid felt like sayin tya red caf viocenite yall
